environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.511
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5208
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5308
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4877
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.589
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5999
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.6094
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4686
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4899
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5023
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5381
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4583
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.579
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.6096
