arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
907.6469,158.265,123.7122,2494.9886,189.1705,618.3777,614.8047,0.448,982.0096,0.2341,11.4938,1.9164,791.243,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,midday
894.6766,157.0745,123.7122,2462.6107,189.1705,611.1318,624.0746,0.4281,990.5687,0.2344,11.6339,1.9079,791.9479,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,pm_peak
903.5021,158.3663,123.7122,2487.206,189.1705,611.1571,624.0236,0.4184,993.9614,0.2344,11.5564,1.8851,792.6879,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,evening
901.8316,158.8568,123.7122,2494.7853,189.1705,620.6681,620.6755,0.4636,982.0174,0.2348,11.4824,1.9009,780.6342,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,am_peak
898.4409,156.4657,123.7122,2511.699,189.1705,616.5044,612.5417,0.4191,993.6029,0.2327,11.5766,1.8909,782.0509,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,midday
893.8576,157.7807,123.7122,2484.5237,189.1705,621.2116,613.5531,0.4364,995.7541,0.2371,11.5039,1.8857,788.7432,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,pm_peak
904.3159,155.9076,123.7122,2460.4626,189.1705,622.9457,612.5162,0.5,1002.753,0.2316,11.5162,1.9116,779.2479,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,evening
892.1004,156.199,123.7122,2480.5393,189.1705,618.7626,618.7379,0.4856,984.0699,0.2317,11.5921,1.9002,785.5592,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,am_peak
893.3785,157.2508,123.7122,2498.3165,189.1705,612.4997,621.4028,0.4332,986.9625,0.2326,11.6876,1.8896,779.6668,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,midday
909.6563,157.2962,123.7122,2463.8749,189.1705,617.999,618.3321,0.4199,987.6398,0.2349,11.5728,1.9116,791.8462,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,pm_peak
899.5577,158.5337,123.7122,2486.3032,189.1705,611.0235,610.6398,0.4091,990.2208,0.237,11.5822,1.8864,782.4451,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,evening
901.0785,155.5415,123.7122,2465.5912,189.1705,616.3768,612.9337,0.4062,987.8731,0.2344,11.6418,1.8793,787.2625,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,am_peak
891.0379,158.8766,123.7122,2457.0763,189.1705,621.9809,621.9902,0.4107,1002.0771,0.2356,11.4498,1.8743,792.5919,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,midday
897.9675,155.6757,123.7122,2453.6136,189.1705,612.1569,616.6399,0.4657,991.3193,0.2368,11.6397,1.8942,778.5221,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,pm_peak
905.3701,158.6731,123.7122,2491.4031,189.1705,617.4127,618.9375,0.4158,1002.3272,0.2328,11.4791,1.9092,786.4672,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,evening
900.1619,156.7987,123.7122,2454.3913,189.1705,615.5747,612.6944,0.4788,1003.1456,0.2337,11.6926,1.8722,789.0309,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,4,am_peak
908.4958,156.8643,123.7122,2483.1227,189.1705,610.4967,621.2649,0.4725,1003.2456,0.2321,11.7021,1.9077,779.8708,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,4,midday
908.1809,157.5253,123.7122,2495.1074,189.1705,621.1602,623.9153,0.4958,1002.3667,0.2357,11.6294,1.9052,778.6006,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,4,pm_peak
