method,split,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate
calibrated_sim_plus_domain_randomization,validation,city2_i01,city_2,3way,severe_imbalance,high,15213.2026,260.754,0.7607,14337.4412,0.3006,66.7168,0.1668
calibrated_sim_plus_opm,validation,city2_i01,city_2,3way,severe_imbalance,high,13340.0073,226.1254,0.8169,14430.2395,0.2976,65.6349,0.1252
calibrated_sim_plus_domain_randomization_plus_opm,validation,city2_i01,city_2,3way,severe_imbalance,high,10747.438,188.8542,0.8795,14655.6067,0.2821,61.8544,0.093
real_only,validation,city2_i02,city_2,4way,severe_imbalance,high,17044.2112,287.1007,0.7252,21810.4774,0.9835,216.1861,0.1773
default_sim,validation,city2_i02,city_2,4way,severe_imbalance,high,23130.4786,383.291,0.563,21200.3988,1.0725,241.3234,0.24
calibrated_sim,validation,city2_i02,city_2,4way,severe_imbalance,high,18670.0795,311.6736,0.6915,21749.4695,1.0118,224.3962,0.1933
calibrated_sim_plus_domain_randomization,validation,city2_i02,city_2,4way,severe_imbalance,high,16324.6292,278.9952,0.7603,21993.5009,0.9601,213.1043,0.1672
calibrated_sim_plus_opm,validation,city2_i02,city_2,4way,severe_imbalance,high,14166.581,240.7577,0.8164,22135.8526,0.9508,209.6902,0.1256
calibrated_sim_plus_domain_randomization_plus_opm,validation,city2_i02,city_2,4way,severe_imbalance,high,11674.1772,203.2937,0.8792,22481.5638,0.9008,197.5448,0.0932
real_only,test,city1_i15,city_1,4way,balanced,medium,16242.2264,275.8262,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,test,city1_i15,city_1,4way,balanced,medium,22621.3019,376.5375,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,test,city1_i15,city_1,4way,balanced,medium,17923.6545,301.2425,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,test,city1_i15,city_1,4way,balanced,medium,15514.3426,267.3612,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,test,city1_i15,city_1,4way,balanced,medium,13635.7538,230.0177,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,test,city1_i15,city_1,4way,balanced,medium,10624.2861,187.2358,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,test,city1_i16,city_1,3way,severe_imbalance,high,15349.4217,261.3621,0.7257,13371.5047,0.2851,62.6219,0.1752
default_sim,test,city1_i16,city_1,3way,severe_imbalance,high,21149.1628,352.0881,0.5655,12988.8658,0.312,70.1852,0.24
calibrated_sim,test,city1_i16,city_1,3way,severe_imbalance,high,17000.0266,285.2984,0.6927,13333.2408,0.293,64.9628,0.1907
calibrated_sim_plus_domain_randomization,test,city1_i16,city_1,3way,severe_imbalance,high,14797.1963,254.6304,0.7611,13486.2964,0.2779,61.6663,0.1645
calibrated_sim_plus_opm,test,city1_i16,city_1,3way,severe_imbalance,high,13079.0208,220.9583,0.8174,13575.5788,0.275,60.6193,0.1217
calibrated_sim_plus_domain_randomization_plus_opm,test,city1_i16,city_1,3way,severe_imbalance,high,10333.2904,182.2681,0.8798,13792.4076,0.2604,57.0611,0.089
real_only,test,city1_i17,city_1,4way,balanced,low,16186.5424,274.5572,0.7253,25907.3981,0.6181,135.5794,0.1712
default_sim,test,city1_i17,city_1,4way,balanced,low,22823.8192,377.8257,0.5633,25124.4537,0.6803,153.0744,0.24
calibrated_sim,test,city1_i17,city_1,4way,balanced,low,17927.6913,300.5497,0.6916,25829.1036,0.6362,140.9604,0.1876
calibrated_sim_plus_domain_randomization,test,city1_i17,city_1,4way,balanced,low,15241.0,264.1687,0.7604,26142.2814,0.6015,133.3617,0.1599
calibrated_sim_plus_opm,test,city1_i17,city_1,4way,balanced,low,13591.0155,228.492,0.8165,26324.9684,0.5948,130.9346,0.1145
calibrated_sim_plus_domain_randomization_plus_opm,test,city1_i17,city_1,4way,balanced,low,10584.3999,185.6122,0.8793,26768.6369,0.5611,122.7292,0.0799
real_only,test,city1_i18,city_1,3way,mild_imbalance,medium,8785.2202,148.7839,0.7275,13323.7692,0.0934,20.4868,0.171
default_sim,test,city1_i18,city_1,3way,mild_imbalance,medium,11873.8848,198.2925,0.5739,12928.986,0.1029,22.9889,0.2322
calibrated_sim,test,city1_i18,city_1,3way,mild_imbalance,medium,9555.3174,160.6898,0.6969,13284.2909,0.0956,21.1924,0.1847
calibrated_sim_plus_domain_randomization,test,city1_i18,city_1,3way,mild_imbalance,medium,8189.5025,142.2789,0.7637,13442.2042,0.0907,20.1259,0.1591
calibrated_sim_plus_opm,test,city1_i18,city_1,3way,mild_imbalance,medium,7059.8529,121.0924,0.8207,13534.3202,0.0896,19.7406,0.1139
calibrated_sim_plus_domain_randomization_plus_opm,test,city1_i18,city_1,3way,mild_imbalance,medium,5786.0778,101.4381,0.8817,13758.0307,0.0849,18.5778,0.0814
real_only,test,city3_i01,city_3,4way,balanced,medium,16119.2078,275.2518,0.7253,25878.1944,0.6196,135.978,0.1728
default_sim,test,city3_i01,city_3,4way,balanced,medium,23221.9434,381.7291,0.5633,25111.1793,0.6803,153.0744,0.24
calibrated_sim,test,city3_i01,city_3,4way,balanced,medium,17966.1989,302.0328,0.6916,25801.4929,0.6376,141.3092,0.1891
calibrated_sim_plus_domain_randomization,test,city3_i01,city_3,4way,balanced,medium,15335.5262,266.3168,0.7604,26108.2989,0.6034,133.8267,0.1618
calibrated_sim_plus_opm,test,city3_i01,city_3,4way,balanced,medium,13659.9325,230.9056,0.8165,26287.2691,0.5969,131.466,0.1173
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i01,city_3,4way,balanced,medium,10934.8292,190.7258,0.8793,26721.911,0.5637,123.3934,0.0833
real_only,test,city3_i02,city_3,4way,mild_imbalance,medium,16434.1845,278.3134,0.7257,23231.9368,0.7342,161.188,0.1731
default_sim,test,city3_i02,city_3,4way,mild_imbalance,medium,22894.555,378.4939,0.5654,22549.0622,0.806,181.3541,0.2395
calibrated_sim,test,city3_i02,city_3,4way,mild_imbalance,medium,18025.8248,302.6397,0.6927,23163.6494,0.7548,167.3248,0.1888
calibrated_sim_plus_domain_randomization,test,city3_i02,city_3,4way,mild_imbalance,medium,15352.4395,266.7947,0.7611,23436.7992,0.7151,158.6174,0.162
calibrated_sim_plus_opm,test,city3_i02,city_3,4way,mild_imbalance,medium,13551.5918,230.4606,0.8173,23596.1366,0.7072,155.8096,0.1179
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i02,city_3,4way,mild_imbalance,medium,10765.5555,189.9345,0.8798,23983.0989,0.6686,146.4003,0.0844
real_only,test,city3_i03,city_3,3way,balanced,low,1152.4866,19.8118,0.7284,13334.2243,0.0568,12.4663,0.1692
default_sim,test,city3_i03,city_3,3way,balanced,low,1576.491,26.5342,0.5782,12933.7383,0.0628,13.9403,0.2281
calibrated_sim,test,city3_i03,city_3,3way,balanced,low,1262.1208,21.45,0.6991,13294.1757,0.058,12.8754,0.1819
calibrated_sim_plus_domain_randomization,test,city3_i03,city_3,3way,balanced,low,1118.905,19.3181,0.7651,13454.3701,0.0551,12.2328,0.1567
calibrated_sim_plus_opm,test,city3_i03,city_3,3way,balanced,low,971.6234,16.4506,0.8224,13547.8168,0.0544,11.986,0.1105
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i03,city_3,3way,balanced,low,746.6798,13.3304,0.8827,13774.7589,0.0515,11.2817,0.0782
real_only,test,city3_i04,city_3,4way,mild_imbalance,medium,16222.5228,276.5108,0.7257,23231.9368,0.7342,161.188,0.1731
default_sim,test,city3_i04,city_3,4way,mild_imbalance,medium,22670.8843,376.644,0.5654,22549.0622,0.806,181.3541,0.2395
calibrated_sim,test,city3_i04,city_3,4way,mild_imbalance,medium,17939.1131,301.9106,0.6927,23163.6494,0.7548,167.3248,0.1888
calibrated_sim_plus_domain_randomization,test,city3_i04,city_3,4way,mild_imbalance,medium,15328.3241,266.5869,0.7611,23436.7992,0.7151,158.6174,0.162
calibrated_sim_plus_opm,test,city3_i04,city_3,4way,mild_imbalance,medium,13571.8763,230.6325,0.8173,23596.1366,0.7072,155.8096,0.1179
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i04,city_3,4way,mild_imbalance,medium,10854.6676,190.7177,0.8798,23983.0989,0.6686,146.4003,0.0844
real_only,test,city3_i05,city_3,4way,severe_imbalance,high,16487.9785,281.6724,0.7252,21824.0696,0.9822,215.8402,0.1765
default_sim,test,city3_i05,city_3,4way,severe_imbalance,high,23422.059,385.3573,0.563,21206.5771,1.0725,241.3234,0.24
calibrated_sim,test,city3_i05,city_3,4way,severe_imbalance,high,18329.8642,308.1784,0.6915,21762.3204,1.0105,224.0936,0.1925
calibrated_sim_plus_domain_randomization,test,city3_i05,city_3,4way,severe_imbalance,high,16336.2424,278.358,0.7603,22009.3174,0.9584,212.7008,0.1662
calibrated_sim_plus_opm,test,city3_i05,city_3,4way,severe_imbalance,high,14098.6966,239.1697,0.8164,22153.399,0.949,209.229,0.124
