method,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,setting,setting_description
calibrated_sim_plus_domain_randomization_plus_opm,city1_i06,city_1,4way,balanced,medium,14870.2283,257.1479,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i07,city_1,3way,mild_imbalance,medium,15341.1167,259.3695,0.5482,12066.6746,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i07,city_1,3way,mild_imbalance,medium,7955.5634,137.9871,0.8651,12920.7558,0.0911,20.3447,0.1126,V2,heavier vehicle dynamics
default_sim,city1_i08,city_1,3way,balanced,low,2076.3659,35.0897,0.553,12073.1769,0.0669,15.2556,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i08,city_1,3way,balanced,low,1065.4343,18.4275,0.8662,12943.644,0.0552,12.3326,0.1078,V2,heavier vehicle dynamics
default_sim,city1_i09,city_1,4way,balanced,medium,27947.8519,476.8062,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i09,city_1,4way,balanced,medium,15137.4283,259.4561,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i10,city_1,4way,severe_imbalance,high,28636.6664,483.2036,0.536,19797.8935,1.1432,262.4537,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i10,city_1,4way,severe_imbalance,high,15378.0532,267.2002,0.8623,21154.4504,0.9618,215.1219,0.1218,V2,heavier vehicle dynamics
default_sim,city1_i11,city_1,3way,mild_imbalance,medium,15080.0308,257.1569,0.5482,12066.6746,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i11,city_1,3way,mild_imbalance,medium,8063.6222,138.9232,0.8651,12920.7558,0.0911,20.3447,0.1126,V2,heavier vehicle dynamics
default_sim,city1_i12,city_1,4way,balanced,medium,28138.7399,478.4239,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i12,city_1,4way,balanced,medium,14878.3363,257.218,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i13,city_1,4way,balanced,low,28246.0046,479.3329,0.5364,23448.7925,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i13,city_1,4way,balanced,low,14570.5904,252.9939,0.8624,25139.4331,0.6023,134.4862,0.1113,V2,heavier vehicle dynamics
default_sim,city1_i14,city_1,3way,mild_imbalance,medium,15361.7715,259.5445,0.5482,12066.6746,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
